,BG_SCALE,Q3,MIN,MAX,N_SURG,Q1,PART,Q2,TARGET_SCALE,MAX_QUEUE_LENGTH,AVG
176,1.0,--,,,3,--,0.0,--,0.5,,
177,1.0,--,,,3,--,0.0,--,0.5,,
178,1.0,14,14.0,14.0,3,14,0.043478260869565216,14,0.5,0.0,14.0
179,1.0,62,62.0,62.0,3,62,0.034482758620689655,62,0.5,1.0,62.0
180,1.0,--,,,3,--,0.0,--,0.5,,
181,1.0,--,,,3,--,0.0,--,0.5,,
182,1.0,--,,,3,--,0.0,--,0.5,,
183,1.0,--,,,3,--,0.0,--,0.5,,
184,1.0,41.0,27.0,41.0,3,27.0,0.043478260869565216,34.0,0.5,1.0,34.0
185,1.0,--,,,3,--,0.0,--,0.5,,
186,1.0,--,,,3,--,0.0,--,0.5,,
187,1.0,--,,,3,--,0.0,--,0.5,,
188,1.0,--,,,3,--,0.0,--,0.5,,
189,1.0,--,,,3,--,0.0,--,0.5,,
190,1.0,--,,,3,--,0.0,--,0.5,,
191,1.0,--,,,3,--,0.0,--,0.5,,
192,1.0,--,,,4,--,0.0,--,0.5,,
193,1.0,--,,,4,--,0.0,--,0.5,,
194,1.0,--,,,4,--,0.0,--,0.5,,
195,1.0,--,,,4,--,0.0,--,0.5,,
196,1.0,--,,,4,--,0.0,--,0.5,,
197,1.0,--,,,4,--,0.0,--,0.5,,
198,1.0,--,,,4,--,0.0,--,0.5,,
199,1.0,--,,,4,--,0.0,--,0.5,,
200,1.0,12,12.0,12.0,4,12,0.022727272727272728,12,0.5,0.0,12.0
201,1.0,--,,,4,--,0.0,--,0.5,,
202,1.0,--,,,4,--,0.0,--,0.5,,
203,1.0,--,,,4,--,0.0,--,0.5,,
204,1.0,--,,,4,--,0.0,--,0.5,,
205,1.0,--,,,4,--,0.0,--,0.5,,
206,1.0,--,,,4,--,0.0,--,0.5,,
207,1.0,--,,,4,--,0.0,--,0.5,,
208,1.0,--,,,4,--,0.0,--,0.5,,
209,1.0,--,,,4,--,0.0,--,0.5,,
210,1.0,--,,,4,--,0.0,--,0.5,,
211,1.0,--,,,4,--,0.0,--,0.5,,
212,1.0,--,,,4,--,0.0,--,0.5,,
213,1.0,--,,,4,--,0.0,--,0.5,,
214,1.0,31,31.0,31.0,4,31,0.03571428571428571,31,0.5,2.0,31.0
215,1.0,--,,,4,--,0.0,--,0.5,,
216,1.0,--,,,5,--,0.0,--,0.5,,
217,1.0,--,,,5,--,0.0,--,0.5,,
218,1.0,--,,,5,--,0.0,--,0.5,,
219,1.0,--,,,5,--,0.0,--,0.5,,
220,1.0,--,,,5,--,0.0,--,0.5,,
221,1.0,--,,,5,--,0.0,--,0.5,,
222,1.0,--,,,5,--,0.0,--,0.5,,
223,1.0,--,,,5,--,0.0,--,0.5,,
224,1.0,--,,,5,--,0.0,--,0.5,,
225,1.0,--,,,5,--,0.0,--,0.5,,
226,1.0,--,,,5,--,0.0,--,0.5,,
227,1.0,--,,,5,--,0.0,--,0.5,,
228,1.0,--,,,5,--,0.0,--,0.5,,
229,1.0,--,,,5,--,0.0,--,0.5,,
230,1.0,--,,,5,--,0.0,--,0.5,,
231,1.0,--,,,5,--,0.0,--,0.5,,
232,1.0,--,,,5,--,0.0,--,0.5,,
233,1.0,--,,,5,--,0.0,--,0.5,,
234,1.0,--,,,5,--,0.0,--,0.5,,
235,1.0,--,,,5,--,0.0,--,0.5,,
236,1.0,--,,,5,--,0.0,--,0.5,,
237,1.0,--,,,5,--,0.0,--,0.5,,
238,1.0,--,,,5,--,0.0,--,0.5,,
239,1.0,--,,,5,--,0.0,--,0.5,,
240,1.5,1250.15,20.0,1557.0,1,251.45,0.4666666666666667,699.5,0.5,17.0,712.2857142857143
241,1.5,483.0,3.0,1164.0,1,72.9,0.43333333333333335,234.0,0.5,10.0,348.6923076923077
242,1.5,373.7,19.0,1435.0,1,52.8,0.6410256410256411,318.0,0.5,17.0,325.8
243,1.5,884.1,13.0,3248.0,1,145.9,0.4888888888888889,194.5,0.5,15.0,610.5909090909091
244,1.5,1078.6,14.0,2264.0,1,165.2,0.6216216216216216,630.0,0.5,25.0,792.695652173913
245,1.5,1970.35,39.0,2456.0,1,266.3,0.4666666666666667,1183.5,0.5,26.0,1112.857142857143
246,1.5,319.4,35.0,843.0,1,104.5,0.3953488372093023,219.0,0.5,8.0,264.3529411764706
247,1.5,684.4,2.0,1869.0,1,51.5,0.3611111111111111,132.0,0.5,10.0,424.15384615384613
248,1.5,930.8,30.0,1083.0,1,66.2,0.4583333333333333,145.0,0.5,13.0,429.45454545454544
249,1.5,635.2,9.0,1018.0,1,97.7,0.5217391304347826,303.5,0.5,6.0,367.6666666666667
250,1.5,1108.0,16.0,2407.0,1,374.2,0.5714285714285714,657.0,0.5,33.0,832.65
251,1.5,1285.35,1.0,2586.0,1,38.95,0.45714285714285713,102.0,0.5,16.0,695.5
252,1.5,490.6,132.0,1063.0,1,215.2,0.4782608695652174,331.0,0.5,17.0,398.45454545454544
253,1.5,719.0,6.0,1582.0,1,74.3,0.7241379310344828,279.0,0.5,15.0,453.5238095238095
254,1.5,984.2,60.0,1606.0,1,208.85,0.5,322.5,0.5,16.0,593.0625
255,1.5,388.15,49.0,835.0,1,121.25,0.27586206896551724,198.5,0.5,11.0,284.875
256,1.5,847.9,7.0,1390.0,1,96.8,0.6296296296296297,416.0,0.5,16.0,519.8823529411765
257,1.5,1116.85,10.0,2885.0,1,108.85,0.7058823529411765,417.5,0.5,24.0,647.4166666666666
258,1.5,535.2,20.0,1418.0,1,99.4,0.4782608695652174,213.0,0.5,10.0,388.1818181818182
259,1.5,853.8,15.0,1814.0,1,68.2,0.59375,287.0,0.5,21.0,532.1578947368421
260,1.5,544.7,1.0,1955.0,1,80.55,0.47368421052631576,217.5,0.5,24.0,493.8333333333333
261,1.5,341.6,32.0,1108.0,1,115.8,0.5862068965517241,200.0,0.5,12.0,276.8235294117647
262,1.5,398.2,5.0,595.0,1,65.2,0.5652173913043478,164.0,0.5,6.0,234.23076923076923
263,1.5,292.2,13.0,2250.0,1,50.4,0.5897435897435898,100.0,0.5,9.0,393.4782608695652
264,1.5,333.5,10.0,684.0,2,22.6,0.23809523809523808,63.0,0.5,10.0,183.1
