,MAX,PART,Q2,Q3,N_SURG,MAX_QUEUE_LENGTH,MIN,SCALE,AVG,Q1
81,791,0.6636446056210336,125.0,325.0,3,65,1,0.0,199.64002732240436,35.0
82,708,0.6694031506545374,107.0,254.0,3,58,1,0.0,170.19224395094466,32.0
83,1037,0.7427377636291286,141.0,354.0,3,86,1,0.0,250.7773908384677,43.0
84,642,0.6912708600770219,110.0,262.0,3,42,1,0.0,157.8087279480037,34.0
85,1025,0.667373330506678,98.5,214.0,3,59,1,0.0,166.92503176620076,35.0
86,1050,0.5826867119301649,71.0,196.0,3,52,1,0.0,172.43653766125675,24.0
87,507,0.5942622950819673,78.0,156.0,3,35,1,0.0,101.80365111561866,28.0
88,435,0.672554647825127,79.0,174.0,3,35,1,0.0,111.45173998686802,29.0
89,910,0.7098389203308664,132.0,392.3000000000002,3,67,1,0.0,232.8322600429316,47.0
90,37855,0.9985666507405638,17814.0,28384.5,1,982,34,0.5,19352.673205741627,12096.300000000001
91,41645,0.9985067197610752,21016.0,30335.05,1,1007,5,0.5,20490.118644067796,9490.949999999999
92,37860,0.9941944847605225,19377.0,28403.999999999996,1,944,1,0.5,19109.960583941607,10547.800000000001
93,38805,0.9975284231339595,19271.0,28964.949999999997,1,970,22,0.5,19325.30475718533,9874.9
94,41775,0.9980168567178979,22827.0,31796.0,1,1064,14,0.5,22389.87729756582,14266.800000000001
95,38502,0.996615087040619,18507.0,28889.3,1,931,1,0.5,18441.538573508005,7936.300000000001
96,41372,0.9974424552429667,19643.5,30145.5,1,973,8,0.5,20323.323076923076,9899.349999999999
97,34883,0.9955708661417323,15263.0,23777.199999999997,1,883,10,0.5,16466.02619871478,8736.4
98,34890,0.9990654205607477,15573.5,24460.55,1,899,7,0.5,16105.722170252573,6818.0
99,40626,0.9985089463220675,17674.0,29578.799999999996,1,985,40,0.5,18826.341463414636,8425.1
100,36552,0.9970384995064165,16940.5,26969.549999999996,1,912,37,0.5,17373.95198019802,7514.35
101,37628,0.9957345971563981,17887.0,27601.299999999996,1,957,11,0.5,18198.201808662543,8361.900000000001
102,40438,0.9965122072745392,17208.0,29344.2,1,1019,7,0.5,18757.934,8416.1
103,34682,0.9965415019762845,16774.0,27147.3,1,822,10,0.5,17022.111056023798,8589.7
104,37702,0.9965034965034965,17738.0,28458.399999999998,1,912,5,0.5,18303.100250626565,7288.6
105,39944,0.9980516317584024,15617.0,27728.3,1,931,1,0.5,17585.63982430454,7226.9000000000015
106,39009,0.9989904088844018,19707.0,29139.399999999998,1,938,8,0.5,19703.950985346135,10707.8
107,37446,0.9984879032258065,15543.0,26982.5,1,869,8,0.5,17351.821807168097,7926.799999999999
108,42481,0.998017839444995,20859.0,31523.69999999999,1,1069,10,0.5,20774.01539225422,8924.85
109,41111,0.9975657254138267,20416.0,30239.3,1,1006,7,0.5,20097.38457784285,10538.800000000003
110,43018,0.9959657085224407,20870.0,31256.2,1,1021,16,0.5,20713.821265822786,9269.4
111,32067,0.9990079365079365,15583.0,22519.050000000003,1,771,19,0.5,15727.367924528302,8018.700000000001
112,42415,0.9990361445783132,22530.0,31655.6,1,1077,33,0.5,21824.19102749638,12228.800000000001
113,37576,0.9949622166246851,16462.0,28258.800000000003,1,877,24,0.5,17647.39088607595,8294.8
114,40575,0.9959839357429718,22887.0,29938.550000000003,1,999,9,0.5,21302.0625,12592.150000000001
115,42169,0.9966329966329966,22244.5,33799.3,1,1047,9,0.5,21477.587355212356,10808.85
116,42814,0.9980139026812314,19560.0,29989.749999999996,1,1057,6,0.5,20501.102487562188,12367.8
117,42175,0.9965652600588812,21215.0,32418.799999999996,1,1087,25,0.5,20801.70457902511,9701.4
118,39830,0.9944695827048768,21073.0,30269.15,1,949,14,0.5,19407.42315470172,6962.1
119,36307,0.9968733715476811,19966.0,26740.3,1,875,3,0.5,18477.921066387873,10102.099999999999
120,7344,0.990454659633258,3132.0,5099.8,2,363,1,0.5,3543.6581283286837,1973.0
121,8755,0.9749733759318424,3495.5,5419.1,2,362,1,0.5,3724.898689240852,1639.4000000000005
122,8250,0.991417361451692,5412.0,7386.8,2,423,3,0.5,5447.436804353203,4240.0
123,9134,0.9862142099681867,3060.5,4989.55,2,391,3,0.5,3401.429301075269,1711.0
124,8385,0.9924812030075187,2309.0,5067.4000000000015,2,364,1,0.5,3049.237121212121,1528.0
125,4846,0.9847405900305188,2558.0,3089.0,2,190,1,0.5,2267.019111570248,1271.45
126,9643,0.9771457592686643,6131.5,8077.55,2,474,1,0.5,5449.100831600832,2350.45
127,2564,0.971938106477839,1025.0,1600.0,2,127,3,0.5,1129.1014570966001,705.0
128,9887,0.9634207870837538,2824.0,6043.000000000001,2,434,1,0.5,3582.7004451427074,812.0000000000007
129,9389,0.9952380952380953,5533.0,7699.6,2,447,4,0.5,4935.332913623773,2407.2
130,4975,0.9710602473033412,1874.0,2826.8,2,245,1,0.5,1900.79978325657,616.2
131,3742,0.9124534326769558,590.0,2224.2000000000007,2,172,1,0.5,1125.451151939341,222.70000000000005
132,6421,0.9732024409657735,3068.5,5426.0,2,306,1,0.5,3201.117230098146,1205.45
133,5671,0.9846678023850085,1499.0,2279.0,2,287,2,0.5,1705.5022244191794,749.8000000000002
134,5060,0.9880686055182699,2496.0,3792.4000000000005,2,229,1,0.5,2542.9449056603776,1552.2
135,8362,0.9985362283483776,5044.0,6027.700000000002,2,432,11,0.5,4644.543611043245,2597.2000000000003
136,7312,0.99119804400978,2752.5,6021.0,2,372,1,0.5,3309.3559447459297,924.95
137,12838,0.9879666011787819,6986.0,10491.400000000001,2,628,1,0.5,6396.675615212528,1335.6000000000004
138,2920,0.9898237776123108,1767.0,2062.0,2,130,1,0.5,1641.1532096288868,1222.0
139,10686,0.9963126843657817,6209.0,7530.900000000001,2,525,1,0.5,5779.154700222058,3816.0
140,12088,0.992849846782431,7743.5,10283.0,2,583,1,0.5,7291.051183127572,5008.150000000001
141,8616,0.9911927528938098,3767.0,6004.8,2,398,1,0.5,4469.267834475755,3128.0
142,6809,0.9886735464384596,3457.0,4704.1,2,294,1,0.5,3372.852851323829,2087.0
143,5196,0.9639830508474576,3955.5,4398.0,2,257,1,0.5,3390.4203296703295,2671.0
144,7095,0.9884036516160869,5264.5,6068.0,2,362,1,0.5,4619.571392910634,3420.95
