,MIN,Q2,Q3,MAX_QUEUE_LENGTH,Q1,MAX,AVG,SCALE,N_SURG,PART
78,24,17360.0,24822.2,886,8806.800000000003,33538,17077.128101037437,1.0,1,0.9981990094552003
79,33,20653.0,30595.1,1064,9556.2,40395,20208.305253623188,1.0,1,0.9959404600811907
80,2,2701.0,3215.0,209,1495.0,4170,2384.9157844080846,1.0,2,0.9956875898418783
81,4,4019.0,7362.500000000001,437,2887.7,9544,4577.6664263398225,1.0,2,0.9956927494615937
82,1,968.0,1439.0,116,642.0,2407,1036.2538367844093,1.0,2,0.9787792083929423
83,1,5825.5,7135.05,442,2691.9,8774,5033.680402491615,1.0,2,0.9805027014329339
84,1,2916.0,3979.3,298,1160.2000000000003,6147,2734.130380065442,1.0,2,0.9709188660801564
85,2,1872.0,3851.6000000000004,277,1125.1000000000001,5228,2434.2882176619783,1.0,2,0.9972407449988503
86,2,2193.5,3388.0,212,1077.45,4504,2229.9305555555557,1.0,2,0.9786055877170904
87,1,1862.0,3959.600000000002,412,1290.95,8733,2633.888656560376,1.0,2,0.9581768094164789
88,1,1309.0,2261.8,162,338.0,3332,1371.1938209664643,1.0,2,0.9422741975615825
89,2,1162.0,2345.0,233,689.0,4970,1662.586686174104,1.0,2,0.9905797101449275
90,1,3311.5,5284.700000000006,359,1735.0,7058,3427.4813965341486,1.0,2,0.9615290370007351
91,2,3207.5,3988.55,296,801.9000000000001,6372,2811.0747398297067,1.0,2,0.9839422853153362
92,1,1606.0,2136.3,183,818.7,3472,1551.9599602089033,1.0,2,0.9707870593915983
93,1,2220.5,3082.0,249,1121.0,4947,2230.4324324324325,1.0,2,0.9782129742962057
94,1,3662.0,5729.0,498,1495.0,10189,3912.452023988006,1.0,2,0.969946679592826
95,3,4471.0,5082.3,351,3587.2,6601,4036.729787741474,1.0,2,0.9833489681050657
96,1,2326.0,3422.6000000000004,254,464.70000000000005,5099,2133.5523857611715,1.0,2,0.961641175042486
97,2,3580.0,6345.55,449,1412.9,8849,4124.558751229105,1.0,2,0.9760076775431862
